#,Zip Code,Location,Population,avg_household_income,Lat ,Long
1,78261,"29.705479, -98.402849","1,119","$92,154.00",29.705479,-98.402849
2,78258,"29.647111, -98.500768","17,355","$91,509.00",29.647111,-98.500768
3,78248,"29.590028, -98.525262","13,346","$90,014.00",29.590028,-98.525262
4,78257,"29.645952, -98.586842","2,415","$88,852.00",29.645952,-98.586842
5,78255,"29.671542, -98.681345","3,293","$87,621.00",29.671542,-98.681345
6,78259,"29.636701, -98.401619","9,345","$87,420.00",29.636701,-98.401619
7,78266,"29.664067, -98.319132","2,984","$81,295.00",29.664067,-98.319132
8,78254,"29.526129, -98.774387","1,391","$76,116.00",29.526129,-98.774387
9,78260,"29.710970, -98.475902","2,702","$71,250.00",29.71097,-98.475902
10,78231,"29.580238, -98.542848","7,615","$67,409.00",29.580238,-98.542848
11,78232,"29.588170, -98.474280","33,743","$64,301.00",29.58817,-98.47428
12,78253,"29.469473, -98.787574","9,839","$60,524.00",29.469473,-98.787574
13,78247,"29.580505, -98.407494","39,773","$59,537.00",29.580505,-98.407494
14,78249,"29.574047, -98.600797","34,190","$58,101.00",29.574047,-98.600797
15,78250,"29.510075, -98.663687","66,601","$55,558.00",29.510075,-98.663687
16,78263,"29.364762, -98.304962","4,147","$51,496.00",29.364762,-98.304962
17,78256,"29.624988, -98.623327","3,644","$49,659.00",29.624988,-98.623327
18,78230,"29.545289, -98.556564","35,573","$49,410.00",29.545289,-98.556564
19,78235,"29.346131, -98.435643",692,"$48,214.00",29.346131,-98.435643
20,78209,"29.488728, -98.457602","40,675","$46,417.00",29.488728,-98.457602
21,78239,"29.516184, -98.361849","24,868","$46,376.00",29.516184,-98.361849
22,78251,"29.462006, -98.676785","26,070","$46,290.00",29.462006,-98.676785
23,78244,"29.474773, -98.355822","17,672","$46,067.00",29.474773,-98.355822
24,78233,"29.553465, -98.361875","36,065","$45,575.00",29.553465,-98.361875
25,78245,"29.392067, -98.740355","30,721","$45,410.00",29.392067,-98.740355
26,78234,"29.460597, -98.438554","5,390","$45,185.00",29.460597,-98.438554
27,78217,"29.538074, -98.415198","32,502","$40,967.00",29.538074,-98.415198
28,78240,"29.525292, -98.604382","44,281","$39,627.00",29.525292,-98.604382
29,78238,"29.471464, -98.617755","20,143","$36,869.00",29.471464,-98.617755
30,78213,"29.520879, -98.523369","39,477","$36,250.00",29.520879,-98.523369
31,78216,"29.538739, -98.491258","37,282","$35,324.00",29.538739,-98.491258
32,78222,"29.371316, -98.381698","15,203","$35,237.00",29.371316,-98.381698
33,78236,"29.389510, -98.611001","1,280","$34,097.00",29.38951,-98.611001
34,78219,"29.439930, -98.384481","14,169","$33,103.00",29.43993,-98.384481
35,78218,"29.492562, -98.396835","28,194","$32,952.00",29.492562,-98.396835
36,78264,"29.209321, -98.512036","7,513","$32,296.00",29.209321,-98.512036
37,78224,"29.323346, -98.550735","14,200","$32,244.00",29.323346,-98.550735
38,78228,"29.460646, -98.571279","58,091","$30,852.00",29.460646,-98.571279
39,78229,"29.505502, -98.577033","27,585","$30,675.00",29.505502,-98.577033
40,78212,"29.464611, -98.493653","31,220","$30,299.00",29.464611,-98.493653
41,78227,"29.396127, -98.634904","46,668","$30,222.00",29.396127,-98.634904
42,78223,"29.312760, -98.397765","43,225","$30,145.00",29.31276,-98.397765
43,78252,"29.341337, -98.705628","3,960","$30,137.00",29.341337,-98.705628
44,78221,"29.261882, -98.483653","36,889","$29,330.00",29.261882,-98.483653
45,78242,"29.349577, -98.615204","28,786","$27,556.00",29.349577,-98.615204
46,78226,"29.384338, -98.573156","9,261","$27,182.00",29.384338,-98.573156
47,78220,"29.412948, -98.409297","16,668","$26,920.00",29.412948,-98.409297
48,78201,"29.469087, -98.529395","47,387","$26,725.00",29.469087,-98.529395
49,78210,"29.395737, -98.466616","37,345","$26,522.00",29.395737,-98.466616
50,78225,"29.387937, -98.526571","13,553","$25,508.00",29.387937,-98.526571
51,78211,"29.342535, -98.570052","31,214","$25,391.00",29.342535,-98.570052
52,78215,"29.438639, -98.481256","1,395","$25,161.00",29.438639,-98.481256
53,78214,"29.324786, -98.470039","23,705","$24,761.00",29.324786,-98.470039
54,78204,"29.404404, -98.505028","11,905","$24,153.00",29.404404,-98.505028
55,78237,"29.420924, -98.566465","36,273","$23,893.00",29.420924,-98.566465
56,78203,"29.415255, -98.460204","5,845","$20,357.00",29.415255,-98.460204
57,78207,"29.422300, -98.524805","56,348","$20,117.00",29.4223,-98.524805
58,78202,"29.428207, -98.461236","11,746","$18,304.00",29.428207,-98.461236
59,78208,"29.439930, -98.458718","5,079","$18,137.00",29.43993,-98.458718
60,78205,"29.424470, -98.487456","1,564","$14,578.00",29.42447,-98.487456